node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0870 -0.1705 -3.0579 0.0723 0.2000 0.0000 0.0000 205.0000 0.0695 1.0000 
1 2 0 0.0870 -0.1705 -3.0579 0.1961 -0.3083 -3.1533 0.0723 0.2000 0.0000 0.0000 205.0000 0.1394 1.0000 
2 3 0 0.1961 -0.3083 -3.1533 0.2186 -0.3374 -3.1731 0.0723 0.0417 0.0000 0.0000 205.0000 0.1540 1.0000 
3 4 0 0.2186 -0.3374 -3.1731 0.3395 -0.4665 -3.2663 0.0723 0.2000 0.0000 0.0000 205.0000 0.2242 1.0000 
4 5 0 0.3395 -0.4665 -3.2663 0.4600 -0.5929 -3.3638 0.0723 0.2000 0.0000 0.0000 205.0000 0.2947 1.0000 
5 6 0 0.4600 -0.5929 -3.3638 0.5790 -0.7228 -3.4585 0.0723 0.2000 0.0000 0.0000 205.0000 0.3655 1.0000 
6 7 0 0.5790 -0.7228 -3.4585 0.6802 -0.8359 -3.5887 0.0723 0.2000 0.0000 0.0000 205.0000 0.4367 1.0000 
7 8 0 0.6802 -0.8359 -3.5887 0.8018 -0.9212 -3.7227 0.0723 0.2000 0.0000 0.0000 205.0000 0.5082 1.0000 
8 9 0 0.8018 -0.9212 -3.7227 0.9352 -0.9949 -3.8522 0.0723 0.2000 0.0000 0.0000 205.0000 0.5799 1.0000 
9 10 0 0.9352 -0.9949 -3.8522 1.0640 -1.0698 -3.9856 0.0723 0.2000 0.0000 0.0000 205.0000 0.6520 1.0000 
10 11 0 1.0640 -1.0698 -3.9856 1.1847 -1.1400 -4.1287 0.0723 0.2000 0.0000 0.0000 205.0000 0.7244 1.0000 
11 12 0 1.1847 -1.1400 -4.1287 1.2994 -1.1780 -4.2881 0.0723 0.2000 0.0000 0.0000 205.0000 0.7972 1.0000 
12 13 0 1.2994 -1.1780 -4.2881 1.4106 -1.1958 -4.4534 0.0723 0.2000 0.0000 0.0000 205.0000 0.8703 1.0000 
13 14 0 1.4106 -1.1958 -4.4534 1.5147 -1.1923 -4.6241 0.0723 0.2000 0.0000 0.0000 205.0000 0.9437 1.0000 
14 15 0 1.5147 -1.1923 -4.6241 1.6120 -1.2133 -4.7976 0.0723 0.2000 0.0000 0.0000 205.0000 1.0174 1.0000 
15 16 0 1.6120 -1.2133 -4.7976 1.7088 -1.2377 -4.9709 0.0723 0.2000 0.0000 0.0000 205.0000 1.0915 1.0000 
16 17 0 1.7088 -1.2377 -4.9709 1.7698 -1.2267 -5.1611 0.0723 0.2000 0.0000 0.0000 205.0000 1.1659 1.0000 
17 18 0 1.7698 -1.2267 -5.1611 1.8333 -1.2273 -5.3507 0.0723 0.2000 0.0000 0.0000 205.0000 1.2407 1.0000 
18 19 0 1.8333 -1.2273 -5.3507 1.8907 -1.2331 -5.5422 0.0723 0.2000 0.0000 0.0000 205.0000 1.3158 1.0000 
19 20 0 1.8907 -1.2331 -5.5422 1.9239 -1.2369 -5.7394 0.0723 0.2000 0.0000 0.0000 205.0000 1.3913 1.0000 
20 21 0 1.9239 -1.2369 -5.7394 1.9378 -1.2441 -5.9388 0.0723 0.2000 0.0000 0.0000 205.0000 1.4671 1.0000 
21 22 0 1.9378 -1.2441 -5.9388 1.9430 -1.2451 -5.9784 0.0723 0.0400 0.0000 0.0000 205.0000 1.4824 1.0000 
22 23 0 1.9430 -1.2451 -5.9784 1.9687 -1.2510 -6.1767 0.0723 0.2000 0.0000 0.0000 205.0000 1.5586 1.0000 
23 24 0 1.9687 -1.2510 -6.1767 1.9486 -1.2316 -6.3747 0.0723 0.2000 0.0000 0.0000 205.0000 1.6352 1.0000 
24 25 0 1.9486 -1.2316 -6.3747 1.9254 -1.2302 -6.5734 0.0723 0.2000 0.0000 0.0000 205.0000 1.7122 1.0000 
25 26 0 1.9254 -1.2302 -6.5734 1.9104 -1.2349 -6.7727 0.0723 0.2000 0.0000 0.0000 205.0000 1.7896 1.0000 
26 27 0 1.9104 -1.2349 -6.7727 1.8891 -1.2239 -6.9713 0.0723 0.2000 0.0000 0.0000 205.0000 1.8673 1.0000 
27 28 0 1.8891 -1.2239 -6.9713 1.8710 -1.2126 -7.1701 0.0723 0.2000 0.0000 0.0000 205.0000 1.9454 1.0000 
28 29 0 1.8710 -1.2126 -7.1701 1.8354 -1.2412 -7.3648 0.0723 0.2000 0.0000 0.0000 205.0000 2.0239 1.0000 
29 30 0 1.8354 -1.2412 -7.3648 1.7988 -1.2515 -7.5612 0.0723 0.2000 0.0000 0.0000 205.0000 2.1028 1.0000 
30 31 0 1.7988 -1.2515 -7.5612 1.7643 -1.2674 -7.7576 0.0723 0.2000 0.0000 0.0000 205.0000 2.1820 1.0000 
31 32 0 1.7643 -1.2674 -7.7576 1.7374 -1.2753 -7.9556 0.0723 0.2000 0.0000 0.0000 205.0000 2.2617 1.0000 
32 33 0 1.7374 -1.2753 -7.9556 1.7128 -1.2822 -8.1539 0.0723 0.2000 0.0000 0.0000 205.0000 2.3417 1.0000 
33 34 0 1.7128 -1.2822 -8.1539 1.7142 -1.2873 -8.3539 0.0723 0.2000 0.0000 0.0000 205.0000 2.4222 1.0000 
34 35 0 1.7142 -1.2873 -8.3539 1.7125 -1.2992 -8.5535 0.0723 0.2000 0.0000 0.0000 205.0000 2.5030 1.0000 
35 36 0 1.7125 -1.2992 -8.5535 1.7281 -1.3164 -8.7522 0.0723 0.2000 0.0000 0.0000 205.0000 2.5843 1.0000 
36 37 0 1.7281 -1.3164 -8.7522 1.7318 -1.3197 -8.9521 0.0723 0.2000 0.0000 0.0000 205.0000 2.6659 1.0000 
37 38 0 1.7318 -1.3197 -8.9521 1.7355 -1.3205 -9.1521 0.0723 0.2000 0.0000 0.0000 205.0000 2.7480 1.0000 
38 39 0 1.7355 -1.3205 -9.1521 1.7321 -1.3084 -9.3517 0.0723 0.2000 0.0000 0.0000 205.0000 2.8305 1.0000 
39 40 0 1.7321 -1.3084 -9.3517 1.6980 -1.3008 -9.5486 0.0723 0.2000 0.0000 0.0000 205.0000 2.9134 1.0000 
40 41 0 1.6980 -1.3008 -9.5486 1.6918 -1.2985 -9.5880 0.0723 0.0400 0.0000 0.0000 205.0000 2.9301 1.0000 
41 42 0 1.6918 -1.2985 -9.5880 1.6671 -1.3253 -9.7847 0.0723 0.2000 0.0000 0.0000 205.0000 3.0135 1.0000 
42 43 0 1.6671 -1.3253 -9.7847 1.6189 -1.3443 -9.9779 0.0723 0.2000 0.0000 0.0000 205.0000 3.0974 1.0000 
43 44 0 1.6189 -1.3443 -9.9779 1.5821 -1.3635 -10.1735 0.0723 0.2000 0.0000 0.0000 205.0000 3.1817 1.0000 
44 45 0 1.5821 -1.3635 -10.1735 1.5392 -1.3801 -10.3682 0.0723 0.2000 0.0000 0.0000 205.0000 3.2665 1.0000 
45 46 0 1.5392 -1.3801 -10.3682 1.4938 -1.4022 -10.5617 0.0723 0.2000 0.0000 0.0000 205.0000 3.3517 1.0000 
46 47 0 1.4938 -1.4022 -10.5617 1.4488 -1.4242 -10.7553 0.0723 0.2000 0.0000 0.0000 205.0000 3.4373 1.0000 
47 48 0 1.4488 -1.4242 -10.7553 1.4309 -1.4320 -10.9543 0.0723 0.2000 0.0000 0.0000 205.0000 3.5234 1.0000 
