image,width,height,time_start, time_end
roots_image_ yt2TzoBEnZ .tiff,2100,2100,1563909135441,1563909139953
roots_image_ GTAFLojwp0 .tiff,2100,2100,1563909139953,1563909144122
roots_image_ tIdop1d2oq .tiff,2100,2100,1563909144122,1563909146794
roots_image_ gBFJ25KjdO .tiff,2100,2100,1563909146795,1563909149382
roots_image_ 6n925hwsYj .tiff,2100,2100,1563909149383,1563909152022
roots_image_ E5peN1stsH .tiff,2100,2100,1563909152022,1563909155215
roots_image_ VTL1uOQw6i .tiff,2100,2100,1563909155215,1563909158800
roots_image_ teMyMDNL4Q .tiff,2100,2100,1563909158800,1563909162129
roots_image_ qGho64umzz .tiff,2100,2100,1563909162129,1563909166322
roots_image_ 4X4KcnuWUb .tiff,2100,2100,1563909166323,1563909169871
roots_image_ NKyveH2brd .tiff,2100,2100,1563909169871,1563909173395
roots_image_ psd2auMiav .tiff,2100,2100,1563909173395,1563909176665
roots_image_ 11WfxTBVGP .tiff,2100,2100,1563909176665,1563909179245
roots_image_ oZBK6P6Ip6 .tiff,2100,2100,1563909179245,1563909182079
roots_image_ hdULCnQ4fA .tiff,2100,2100,1563909182079,1563909185389
roots_image_ N1fmT4snnh .tiff,2100,2100,1563909185389,1563909188361
roots_image_ CL1lz3zKgV .tiff,2100,2100,1563909188361,1563909191296
roots_image_ OT9aUo7uai .tiff,2100,2100,1563909191296,1563909195092
roots_image_ axTvBLDF2D .tiff,2100,2100,1563909195092,1563909197795
roots_image_ ZMkEqTZbVQ .tiff,2100,2100,1563909197795,1563909200588
roots_image_ paOVUYTahm .tiff,2100,2100,1563909200589,1563909203182
roots_image_ IcWxjWjQAZ .tiff,2100,2100,1563909203182,1563909205742
roots_image_ hkWladXleL .tiff,2100,2100,1563909205742,1563909208523
roots_image_ EOLOpAE2YN .tiff,2100,2100,1563909208523,1563909211228
roots_image_ toqniUX0Al .tiff,2100,2100,1563909211228,1563909213811
roots_image_ hOUtPEYvlv .tiff,2100,2100,1563909213812,1563909217191
roots_image_ Idm0jrRYWG .tiff,2100,2100,1563909217192,1563909219851
roots_image_ 8iaVqhFSqQ .tiff,2100,2100,1563909219851,1563909222253
roots_image_ F9GN6qxJ5J .tiff,2100,2100,1563909222253,1563909224899
roots_image_ RRpCxjYXOD .tiff,2100,2100,1563909224899,1563909227793
roots_image_ jjCyNP5PdT .tiff,2100,2100,1563909227794,1563909230689
roots_image_ o9shI0XOdu .tiff,2100,2100,1563909230689,1563909233307
roots_image_ AdyFiM7NiV .tiff,2100,2100,1563909233308,1563909236130
roots_image_ NQ6ICRMBqv .tiff,2100,2100,1563909236130,1563909239094
roots_image_ kgzuAcreGC .tiff,2100,2100,1563909239094,1563909242507
roots_image_ xzZkqWzttS .tiff,2100,2100,1563909242507,1563909245344
roots_image_ iXzhUT8eL3 .tiff,2100,2100,1563909245344,1563909248330
roots_image_ ewJrWcOBYl .tiff,2100,2100,1563909248330,1563909251167
roots_image_ VRtlPtYmu2 .tiff,2100,2100,1563909251167,1563909253774
roots_image_ SMeLWocJkP .tiff,2100,2100,1563909253774,1563909256490
roots_image_ 5WV80YFcFt .tiff,2100,2100,1563909256491,1563909259186
roots_image_ YgYEPW6zKS .tiff,2100,2100,1563909259187,1563909261968
roots_image_ lNG7BK5stc .tiff,2100,2100,1563909261968,1563909264776
roots_image_ u8rNoL5hfH .tiff,2100,2100,1563909264776,1563909267550
roots_image_ FPwEvYnoDn .tiff,2100,2100,1563909267550,1563909270112
roots_image_ 6Fbzbn0oJ7 .tiff,2100,2100,1563909270113,1563909272645
roots_image_ 6pUJ3FAJVs .tiff,2100,2100,1563909272645,1563909275166
roots_image_ iZLborFOeS .tiff,2100,2100,1563909275167,1563909277876
roots_image_ F4t8anA8rF .tiff,2100,2100,1563909277876,1563909280629
roots_image_ PPmoLi7EOE .tiff,2100,2100,1563909280630,1563909283266
