image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_hori_4_mean,cross_hori_4_max,cross_hori_5_mean,cross_hori_5_max,cross_hori_6_mean,cross_hori_6_max,cross_hori_7_mean,cross_hori_7_max,cross_hori_8_mean,cross_hori_8_max,cross_hori_9_mean,cross_hori_9_max,cross_hori_10_mean,cross_hori_10_max,cross_hori_11_mean,cross_hori_11_max,cross_hori_12_mean,cross_hori_12_max,cross_hori_13_mean,cross_hori_13_max,cross_hori_14_mean,cross_hori_14_max,cross_hori_15_mean,cross_hori_15_max,cross_hori_16_mean,cross_hori_16_max,cross_hori_17_mean,cross_hori_17_max,cross_hori_18_mean,cross_hori_18_max,cross_hori_19_mean,cross_hori_19_max,cross_hori_20_mean,cross_hori_20_max,cross_hori_21_mean,cross_hori_21_max,cross_hori_22_mean,cross_hori_22_max,cross_hori_23_mean,cross_hori_23_max,cross_hori_24_mean,cross_hori_24_max,cross_hori_25_mean,cross_hori_25_max,cross_hori_26_mean,cross_hori_26_max,cross_hori_27_mean,cross_hori_27_max,cross_hori_28_mean,cross_hori_28_max,cross_hori_29_mean,cross_hori_29_max,cross_vert_mean,cross_vert_max,convexhull,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
roots_image_ yt2TzoBEnZ .tiff,0.034900993,0.01686568,0.011633663,12.959902,38.949505,2.6059408,7.480446,0.34836704,0.34967837,0.42108658,1.9271207,6.1078258,10.26822,14.545998,8.352151,8.448327,8.410095,8.467742,6.8181553,7.0,0.13913043,3.0,0.3478261,3.0,0.5217391,3.0,0.7304348,3.0,0.8869565,3.0,1.3043479,9.0,1.8347826,9.0,2.0,9.0,2.1217391,9.0,2.1826086,9.0,2.3043478,9.0,2.2086957,9.0,2.2173913,9.0,2.2086957,9.0,2.2608695,9.0,2.2173913,9.0,1.9565217,9.0,1.5739131,5.0,1.4434782,3.0,1.5652174,4.0,1.6347826,3.0,1.6782609,4.0,1.6521739,3.0,1.5565218,4.0,1.452174,3.0,1.373913,4.0,1.3826087,4.0,1.3130435,4.0,1.3391304,4.0,1.3130435,4.0,NaN,0.0,4410000.0,0.2544643,0.29017857,0.29464287,0.23660715,0.22321428,0.20982143,0.04464286,0.20089285,0.19642857,0.19642857,0.20982143,0.20982143,0.21428572,0.21875,0.21875,0.40625,0.25,0.8125,0.5714286,0.28125,0.026785715,0.28125,0.51785713,0.013392857,0.18303572,0.008928572,0.17410715,0.013392857,0.013392857,0.013392857,0.026785715,0.3080357,0.8258928,0.8392857,1.0223213,1.0312499,1.2053571,1.2187499,1.2321427,1.2455355
roots_image_ GTAFLojwp0 .tiff,0.023267327,0.01690137,0.011633663,13.925496,40.205944,2.6873763,8.143564,0.33,0.35466644,0.40667906,2.1412036,6.6791086,11.213252,15.828993,9.106482,9.12037,9.149016,9.197917,9.47172,8.0,0.8534483,35.0,0.9913793,47.0,1.0517242,35.0,1.1896552,47.0,1.25,35.0,1.4741379,47.0,1.6637931,35.0,1.8706896,47.0,2.060345,35.0,2.189655,47.0,1.5344827,4.0,1.6206896,3.0,1.7327586,4.0,1.8189656,3.0,1.887931,4.0,1.9482758,5.0,1.9224138,7.0,1.887931,14.0,1.7241379,7.0,1.7586207,14.0,1.6982758,7.0,1.7844827,14.0,1.6206896,7.0,1.5862069,14.0,1.4568965,7.0,1.387931,14.0,1.2413793,4.0,1.2327586,5.0,1.2413793,4.0,1.2327586,5.0,NaN,0.0,4410000.0,0.22077923,0.34199134,0.19480519,0.32900432,0.116883114,0.34199134,0.35064936,0.35064936,0.35930735,0.37662336,0.38961038,0.37229437,0.36363637,0.36796537,0.35497835,0.36363637,0.35930735,0.35930735,0.35064936,1.0,0.77922076,0.008658009,0.16450216,0.030303031,0.24675325,0.012987013,0.017316017,0.012987013,0.012987013,0.012987013,0.77922076,0.78787875,0.9523809,0.9826839,1.2294371,1.2424241,1.2597401,1.2727271,1.2857141,1.2987012
roots_image_ tIdop1d2oq .tiff,0.034900993,0.01626202,0.011633663,16.170794,49.15223,2.0591586,9.167327,0.22461928,0.49202487,0.4843533,1.5476923,4.6094675,7.7725444,11.050178,6.491834,6.3379884,6.375148,6.39929,5.9366426,10.0,0.1891892,1.0,0.36486486,1.0,0.5540541,2.0,0.7702703,2.0,0.9459459,2.0,1.0675676,2.0,1.2432432,2.0,1.418919,2.0,1.5945946,4.0,1.9594594,4.0,2.2432432,4.0,2.4054055,4.0,2.5810812,4.0,2.5810812,4.0,2.4729729,4.0,2.4594595,4.0,2.2837837,4.0,2.1351352,4.0,2.0810812,4.0,2.0810812,4.0,1.9594594,4.0,1.8783784,4.0,1.9864864,4.0,1.8648648,4.0,1.8513514,4.0,1.7297298,4.0,1.6486486,5.0,1.4594594,5.0,1.4054054,5.0,1.2162162,5.0,NaN,0.0,4410000.0,0.02259887,0.4463277,0.46327683,0.45762712,0.38418078,0.4124294,0.4463277,0.44067797,0.37288135,0.45762712,0.47457626,0.46892655,0.45762712,0.46327683,0.42937854,0.5423729,0.94350284,0.59322035,0.49717513,0.04519774,0.02259887,0.050847456,0.1299435,0.4858757,0.15819208,0.016949153,0.016949153,0.016949153,0.096045196,0.016949153,0.02259887,0.073446326,0.20338982,0.6892655,0.8474576,0.86440676,0.88135594,0.8983051,0.9943503,1.0112995
roots_image_ gBFJ25KjdO .tiff,0.023267327,0.016514843,0.011633663,12.005941,35.552475,2.3267329,7.3292084,0.31746033,0.41741002,0.39980158,1.8789268,5.795157,9.907395,13.982002,7.9195027,8.0422125,8.066426,8.09555,3.5936103,7.0,0.20869565,3.0,0.3652174,2.0,0.57391304,3.0,0.8608696,6.0,1.2347826,6.0,1.4260869,6.0,1.6347826,6.0,1.7217392,6.0,1.9043478,6.0,2.0608695,6.0,2.252174,6.0,2.2347827,6.0,2.1478262,6.0,2.1565218,6.0,2.0086956,5.0,1.8173913,3.0,1.7043478,2.0,1.6434783,3.0,1.7130435,3.0,1.6521739,3.0,1.5652174,3.0,1.4695653,3.0,1.4173913,3.0,1.4086957,3.0,1.3217391,3.0,1.2173913,2.0,1.1652174,3.0,1.1478261,2.0,1.1304348,2.0,1.0173913,2.0,NaN,0.0,4410000.0,0.23,0.045,0.4,0.375,0.38,0.385,0.375,0.375,0.375,0.39,0.405,0.39,0.39,0.39,0.4,0.435,0.53,0.96,0.44,0.325,0.095,0.395,0.56,0.155,0.055,0.015,0.015,0.015,0.015,0.015,0.095,0.49,1.05,1.2049999,1.2599999,1.2749999,1.2899998,1.3049998,1.3199998,1.3349998
roots_image_ 6n925hwsYj .tiff,0.023267327,0.016669882,0.011633663,10.749505,31.224754,2.489604,6.677723,0.3728223,0.56307715,0.41758814,2.0931447,6.4769,11.024962,15.451192,8.919896,8.923621,8.9564085,9.013041,8.531858,6.0,0.33333334,9.0,0.5964912,6.0,0.84210527,9.0,0.80701756,6.0,1.0087719,9.0,0.9736842,6.0,1.2719299,9.0,1.4210526,6.0,1.8421053,9.0,1.8508772,6.0,2.0789473,9.0,2.0175438,6.0,1.9122807,7.0,1.5877193,6.0,1.6754386,7.0,1.745614,6.0,1.8596492,7.0,1.8596492,6.0,1.7894737,6.0,1.5789474,4.0,1.3859649,4.0,1.4035088,3.0,1.4473684,5.0,1.4736842,3.0,1.4473684,5.0,1.4736842,3.0,1.3421053,5.0,1.2719299,3.0,1.1578947,5.0,1.1578947,3.0,NaN,0.0,4410000.0,0.42056075,0.59345794,0.59345794,0.58411217,0.57476634,0.56542057,0.5607477,0.55607474,0.57009345,0.57009345,0.58411217,0.58411217,0.57009345,0.57476634,0.8551402,0.58878505,0.5981308,0.60747665,0.60747665,0.46261683,0.042056076,0.014018691,0.014018691,0.014018691,0.014018691,0.2897196,0.014018691,0.014018691,0.014018691,0.014018691,0.042056076,0.05607477,0.07009346,0.08411215,0.098130845,0.38785046,0.40186915,0.41588783,0.42990652,0.4439252
roots_image_ E5peN1stsH .tiff,0.023267327,0.016212657,0.011633663,13.448515,40.48515,2.4314358,7.294307,0.33333334,0.51029944,0.43413767,1.7382184,5.3074713,8.979023,12.621264,7.341379,7.2893677,7.3836207,7.355747,11.016132,9.0,0.23809524,5.0,0.45714286,5.0,0.552381,5.0,0.64761907,5.0,0.8952381,5.0,1.0857143,5.0,1.2761905,5.0,1.4666667,5.0,1.6761905,5.0,2.0285714,5.0,2.1904762,5.0,2.142857,5.0,2.1142857,5.0,2.1619048,5.0,2.209524,4.0,2.2380953,4.0,2.1714287,4.0,2.0761905,4.0,2.142857,6.0,2.142857,6.0,1.9809524,6.0,1.8,6.0,1.7714286,6.0,1.9047619,6.0,1.8857143,6.0,1.7428571,6.0,1.6571429,6.0,1.6571429,6.0,1.6571429,6.0,1.3714286,6.0,NaN,0.0,4410000.0,0.6363636,0.46411484,0.4258373,0.4401914,0.3923445,0.4449761,0.4401914,0.4401914,0.44976076,0.46411484,0.4784689,0.46411484,0.64593303,0.45454547,0.45933014,0.46411484,1.0,0.784689,0.4832536,0.7368421,0.10047847,0.019138755,0.35885167,0.5598086,0.07177033,0.014354067,0.014354067,0.20574163,0.014354067,0.014354067,0.10047847,0.119617224,0.4784689,1.0382775,1.1100478,1.1244019,1.138756,1.3444977,1.3588518,1.3732059
roots_image_ VTL1uOQw6i .tiff,0.034900993,0.016394772,0.011633663,13.076239,39.752228,2.8967824,6.6428223,0.43607706,0.45083055,0.3836353,1.9294703,5.885572,9.953468,14.070237,8.052971,8.1849575,8.163009,8.226808,15.069739,9.0,0.5714286,8.0,0.8839286,11.0,1.0625,8.0,1.2232143,11.0,1.5,9.0,1.7142857,12.0,1.75,9.0,1.8839285,12.0,2.0267856,9.0,2.2857144,12.0,2.4017856,9.0,2.5267856,12.0,2.1607144,9.0,2.2142856,12.0,2.0982144,9.0,2.4285715,26.0,2.017857,8.0,2.125,26.0,1.9642857,8.0,2.2142856,26.0,1.9732143,8.0,2.0267856,26.0,1.875,8.0,1.8928572,26.0,1.5982143,8.0,1.6160715,26.0,1.4553572,8.0,1.25,3.0,1.2678572,5.0,1.2410715,3.0,NaN,0.0,4410000.0,0.4698795,0.35341364,0.3253012,0.33734939,0.10040161,0.3694779,0.26907632,0.3694779,0.38554215,0.37349397,0.38554215,0.39759037,0.3815261,0.3815261,0.3815261,0.36144578,0.5461847,0.33734939,0.8795181,0.7068273,0.23694779,0.5261044,0.012048192,0.20883535,0.26104417,0.012048192,0.1124498,0.012048192,0.012048192,0.012048192,0.23694779,0.76305217,0.77510035,0.9839357,1.2449799,1.2570281,1.3694779,1.3815261,1.3935744,1.4056226
roots_image_ teMyMDNL4Q .tiff,0.023267327,0.017109564,0.011633663,12.901733,38.786636,2.6757426,7.864357,0.3402367,0.38203228,0.4100748,2.1310737,6.5683866,11.199161,15.80324,9.130774,9.1244755,9.162868,9.247451,6.402417,7.0,0.20869565,5.0,0.4347826,5.0,0.7217391,5.0,1.0173913,5.0,1.1652174,5.0,1.3217391,5.0,1.5130435,5.0,1.7043478,5.0,1.8956522,5.0,2.0869565,5.0,2.1304348,4.0,2.173913,5.0,2.1478262,5.0,2.026087,5.0,1.9304348,5.0,1.9130435,5.0,1.8521739,5.0,1.9217391,5.0,1.826087,5.0,1.7304348,5.0,1.6347826,5.0,1.5130435,5.0,1.452174,5.0,1.3478261,5.0,1.2608696,5.0,1.2608696,5.0,1.2608696,5.0,1.1478261,5.0,1.0608696,3.0,1.0608696,3.0,NaN,0.0,4410000.0,0.32173914,0.3347826,0.2173913,0.039130434,0.33043477,0.26086956,0.32608697,0.33913043,0.32173914,0.32608697,0.33913043,0.3347826,0.35217392,0.33913043,0.33913043,0.7,0.3347826,0.34347826,0.8826087,0.35652173,0.034782607,0.5478261,0.12608695,0.29565218,0.36956522,0.07826087,0.013043478,0.013043478,0.013043478,0.013043478,0.034782607,0.5826087,0.70869565,1.0043478,1.373913,1.452174,1.4652175,1.478261,1.4913045,1.504348
roots_image_ qGho64umzz .tiff,0.046534654,0.015043051,0.011633663,38.902973,121.9208,2.8618813,8.050495,0.35549134,0.45317638,0.4062125,0.65057254,2.0608778,3.6318703,5.446088,3.0576336,2.9526718,2.9954197,3.0869274,29.397875,33.0,0.53846157,16.0,0.88461536,10.0,1.2884616,16.0,1.8461539,10.0,2.6634614,16.0,3.5480769,12.0,4.3173075,16.0,5.326923,12.0,6.2115383,16.0,6.576923,12.0,6.7884617,13.0,7.25,12.0,7.5,13.0,7.5,12.0,7.1634617,13.0,7.0288463,12.0,6.4711537,11.0,6.3653846,12.0,5.7884617,11.0,5.9038463,10.0,5.5,11.0,5.2211537,10.0,4.923077,9.0,4.644231,10.0,4.3076925,9.0,3.8173077,10.0,3.3461537,9.0,2.9326923,7.0,2.5673077,9.0,2.0673077,7.0,NaN,0.0,4410000.0,0.85365856,0.3821138,0.28455284,0.10569106,0.13414635,0.42682928,0.24390244,0.41463414,0.41463414,0.43089432,0.4390244,0.42682928,0.5609756,0.51626015,0.80487806,0.6707317,0.5569106,0.8455285,0.5081301,0.9065041,0.05284553,0.12601626,0.5609756,0.4512195,0.5365854,0.37804878,0.27235773,0.14634146,0.0121951215,0.008130081,0.05284553,0.1788618,0.7398374,1.191057,1.7276423,2.105691,2.3780487,2.5243902,2.5365853,2.5447154
roots_image_ 4X4KcnuWUb .tiff,0.058168318,0.016043723,0.011633663,70.61634,223.13367,3.082921,8.1901,0.37642047,0.5045708,0.40302995,0.38274243,1.0455161,1.9741919,3.2459855,1.7827424,1.5734619,1.6651199,1.7900939,46.83362,61.0,0.58666664,7.0,1.1066667,5.0,1.8133334,7.0,3.3333333,23.0,5.44,29.0,6.76,29.0,8.92,29.0,9.946667,29.0,11.76,29.0,13.226666,29.0,14.493333,29.0,15.466666,27.0,15.493333,26.0,15.533334,27.0,15.906667,50.0,14.8133335,27.0,14.133333,50.0,12.466666,26.0,11.64,50.0,10.76,18.0,10.44,28.0,9.226666,18.0,8.786667,28.0,7.24,14.0,6.28,28.0,4.866667,13.0,3.6266668,13.0,2.7466667,10.0,1.96,7.0,1.5733334,7.0,NaN,0.0,4410000.0,0.42264152,0.5735849,0.26792452,0.17358491,0.15471698,0.23396227,0.2754717,0.41132075,0.49811321,0.49811321,0.509434,0.50566036,0.50566036,0.7056604,0.8037736,0.7018868,0.8792453,0.7245283,0.83396226,0.47924528,0.056603774,0.26037735,0.45660377,0.7056604,0.5471698,0.56981134,0.4301887,0.094339624,0.00754717,0.011320755,0.056603774,0.31698114,0.7735849,1.4792453,2.026415,2.5962265,3.026415,3.1207547,3.1283019,3.1396227
roots_image_ NKyveH2brd .tiff,0.034900993,0.016796758,0.011633663,14.181437,43.800743,2.2336636,7.8759904,0.28360415,0.43175283,0.41819152,1.5750332,4.822311,8.157769,11.6706505,6.7285523,6.665073,6.669588,6.8010626,9.916841,10.0,0.22608696,4.0,0.4173913,4.0,0.7478261,8.0,0.95652175,8.0,1.0608696,8.0,1.1565218,8.0,1.373913,8.0,1.5652174,8.0,1.7565217,8.0,1.9913044,8.0,2.1391304,8.0,2.1565218,8.0,2.1565218,8.0,2.1478262,5.0,2.2,5.0,2.2434783,5.0,2.3043478,5.0,2.4,5.0,2.3043478,5.0,2.2086957,5.0,2.0173912,5.0,1.8869566,5.0,1.7913043,5.0,1.6956521,5.0,1.547826,5.0,1.4608696,5.0,1.4434782,5.0,1.1826087,5.0,1.1304348,4.0,1.1304348,4.0,NaN,0.0,4410000.0,0.6510417,0.453125,0.30208334,0.020833334,0.046875,0.21354167,0.46875,0.45833334,0.44791666,0.453125,0.46875,0.46354166,0.5833333,0.48958334,0.484375,0.46875,0.47916666,0.47916666,0.984375,0.7239583,0.072916664,0.53125,0.17708333,0.45833334,0.421875,0.27083334,0.020833334,0.125,0.015625,0.015625,0.072916664,0.6041667,0.78125,1.2395834,1.6614584,1.9322917,1.9531251,2.078125,2.09375,2.109375
