id,lmax1,lmax2,ln1,la1,r1,r2,maxB
0aW21d5Q2n,44.416,7.658,2.3,3.005,2.94,0.75,0
0IqwjpVtZS,44.416,7.658,3.93,3.005,2.94,0.75,0
12uORtToLk,44.416,7.658,3.75,3.005,2.94,0.75,0
1IbPhEugJL,44.416,7.658,4.54,3.005,2.94,0.75,0
1Wau7EshWJ,44.416,7.658,1.65,3.005,2.94,0.75,0
1ytlMSMtLE,44.416,7.658,2.59,3.005,2.94,0.75,0
21iuRfgdaz,44.416,7.658,1.21,3.005,2.94,0.75,0
2e3UuXSFog,44.416,7.658,2.54,3.005,2.94,0.75,0
2QxgUfb9ml,44.416,7.658,1.8,3.005,2.94,0.75,0
2YhDYNT52P,44.416,7.658,0.76,3.005,2.94,0.75,0
3aoHd4IdJR,44.416,7.658,3.17,3.005,2.94,0.75,0
3nv2cl5HJR,44.416,7.658,2.56,3.005,2.94,0.75,0
3TpEVuJg3w,44.416,7.658,4.04,3.005,2.94,0.75,0
3u5RHDvZSs,44.416,7.658,1.63,3.005,2.94,0.75,0
3w0t36Lb0F,44.416,7.658,0.22,3.005,2.94,0.75,0
3YvFtXVR8f,44.416,7.658,3.38,3.005,2.94,0.75,0
4E6HHeIdqT,44.416,7.658,3.22,3.005,2.94,0.75,0
4ffOyRTaLK,44.416,7.658,1.79,3.005,2.94,0.75,0
4O0cPmgCry,44.416,7.658,4.7,3.005,2.94,0.75,0
4W9YjnT74K,44.416,7.658,2.06,3.005,2.94,0.75,0
5bwTzlbxL9,44.416,7.658,0.84,3.005,2.94,0.75,0
5q5D4nkf0X,44.416,7.658,3.03,3.005,2.94,0.75,0
69NXIeUjf6,44.416,7.658,3.77,3.005,2.94,0.75,0
6UHQt0OHWP,44.416,7.658,3.31,3.005,2.94,0.75,0
6V3lP4OH1N,44.416,7.658,1.35,3.005,2.94,0.75,0
7CoyOoK2Fo,44.416,7.658,1.43,3.005,2.94,0.75,0
7oVgV9HbIC,44.416,7.658,4.13,3.005,2.94,0.75,0
7U2Zcs6eAS,44.416,7.658,0.9,3.005,2.94,0.75,0
7xdp3xWeyv,44.416,7.658,1.31,3.005,2.94,0.75,0
7xPKI20h9o,44.416,7.658,1.06,3.005,2.94,0.75,0
7Z2w3JxtAG,44.416,7.658,1.41,3.005,2.94,0.75,0
86q4JzUlKK,44.416,7.658,1.59,3.005,2.94,0.75,0
8FKnC6UGce,44.416,7.658,4.17,3.005,2.94,0.75,0
8n5U7o5Aeq,44.416,7.658,2.32,3.005,2.94,0.75,0
8vWX7vipqV,44.416,7.658,4.86,3.005,2.94,0.75,0
8XJcAbwQ3p,44.416,7.658,3,3.005,2.94,0.75,0
8ZZUpMY6Qd,44.416,7.658,1.25,3.005,2.94,0.75,0
9aOznk1K21,44.416,7.658,2.14,3.005,2.94,0.75,0
9Bljohbsbq,44.416,7.658,3.66,3.005,2.94,0.75,0
9NRBZ1gqXl,44.416,7.658,0.44,3.005,2.94,0.75,0
9qwsKq8olZ,44.416,7.658,4.63,3.005,2.94,0.75,0
9rEMXSg9d2,44.416,7.658,1.21,3.005,2.94,0.75,0
9u1chiUlRO,44.416,7.658,1.06,3.005,2.94,0.75,0
9UVFXockBZ,44.416,7.658,4.78,3.005,2.94,0.75,0
a7bLOjBUmB,44.416,7.658,1.49,3.005,2.94,0.75,0
acA4RfWqBh,44.416,7.658,2.09,3.005,2.94,0.75,0
akWldDq25I,44.416,7.658,3.57,3.005,2.94,0.75,0
aL7vkHOgJz,44.416,7.658,0.79,3.005,2.94,0.75,0
ALCOHhszuB,44.416,7.658,2.8,3.005,2.94,0.75,0
aLRecNzzQV,44.416,7.658,2.21,3.005,2.94,0.75,0
arr2bqeXOa,44.416,7.658,4.56,3.005,2.94,0.75,0
AwCucH48dC,44.416,7.658,4.91,3.005,2.94,0.75,0
axmw22pXbR,44.416,7.658,3.5,3.005,2.94,0.75,0
AXTcNCGigB,44.416,7.658,3.76,3.005,2.94,0.75,0
B407Is8pBL,44.416,7.658,4.86,3.005,2.94,0.75,0
B9h55UzkRN,44.416,7.658,2.67,3.005,2.94,0.75,0
bB3s6ENk8O,44.416,7.658,1.15,3.005,2.94,0.75,0
BBBvSe3vqE,44.416,7.658,1.79,3.005,2.94,0.75,0
BbpvDBdvgE,44.416,7.658,3.24,3.005,2.94,0.75,0
BCi3dgHuam,44.416,7.658,4.91,3.005,2.94,0.75,0
be2fEOo5QK,44.416,7.658,2.51,3.005,2.94,0.75,0
bGIpis5h9b,44.416,7.658,1.97,3.005,2.94,0.75,0
bl1OzbmveB,44.416,7.658,3.46,3.005,2.94,0.75,0
BLR12Cehe8,44.416,7.658,4.17,3.005,2.94,0.75,0
BO2YEtUWj8,44.416,7.658,2.5,3.005,2.94,0.75,0
cbuTnsZxTG,44.416,7.658,0.59,3.005,2.94,0.75,0
CFJD5EAmZO,44.416,7.658,1.42,3.005,2.94,0.75,0
CLFnb4KB6N,44.416,7.658,1.39,3.005,2.94,0.75,0
CqzP40H56v,44.416,7.658,2.51,3.005,2.94,0.75,0
CR7RKjwyOs,44.416,7.658,3.66,3.005,2.94,0.75,0
cxNCRDEpAj,44.416,7.658,3.13,3.005,2.94,0.75,0
D4wN9f9nvw,44.416,7.658,4.43,3.005,2.94,0.75,0
D6kmYqrNrL,44.416,7.658,1.55,3.005,2.94,0.75,0
dEovvQ9lNi,44.416,7.658,3.33,3.005,2.94,0.75,0
deXcqUwG1n,44.416,7.658,1.41,3.005,2.94,0.75,0
dFrBb6K0hI,44.416,7.658,4.97,3.005,2.94,0.75,0
dO0GDaIh5B,44.416,7.658,3.39,3.005,2.94,0.75,0
dOj1et0ZBy,44.416,7.658,4.93,3.005,2.94,0.75,0
Dp4byeHRd5,44.416,7.658,3.7,3.005,2.94,0.75,0
Dq7pLGDP47,44.416,7.658,1.43,3.005,2.94,0.75,0
DS3VDwLbEQ,44.416,7.658,3.41,3.005,2.94,0.75,0
dWflFeugoo,44.416,7.658,2.14,3.005,2.94,0.75,0
E82y5efaTd,44.416,7.658,2.62,3.005,2.94,0.75,0
edir9HziXg,44.416,7.658,0.78,3.005,2.94,0.75,0
eedaUmv48V,44.416,7.658,1.41,3.005,2.94,0.75,0
Eh2EHAlYCG,44.416,7.658,4.44,3.005,2.94,0.75,0
eNtuM1TOAS,44.416,7.658,2.87,3.005,2.94,0.75,0
Eogc7ZEuS1,44.416,7.658,1.12,3.005,2.94,0.75,0
EOHfWizZjR,44.416,7.658,2.65,3.005,2.94,0.75,0
eREZCfi4kP,44.416,7.658,3.79,3.005,2.94,0.75,0
Ewvko9s2An,44.416,7.658,0.88,3.005,2.94,0.75,0
eyWViU6tfx,44.416,7.658,3.04,3.005,2.94,0.75,0
f9wcOGB9X9,44.416,7.658,3.64,3.005,2.94,0.75,0
fAaQyrXFYQ,44.416,7.658,3.71,3.005,2.94,0.75,0
FB6XrYLlLn,44.416,7.658,2.6,3.005,2.94,0.75,0
fG0LjeKDIA,44.416,7.658,3.75,3.005,2.94,0.75,0
Fhvpb2ywVf,44.416,7.658,4.73,3.005,2.94,0.75,0
FJAISOYqjj,44.416,7.658,4.97,3.005,2.94,0.75,0
FxhxE5Ir4b,44.416,7.658,1.41,3.005,2.94,0.75,0
Fy3iMhxkSP,44.416,7.658,0.44,3.005,2.94,0.75,0
fzAdDL8n8W,44.416,7.658,1.22,3.005,2.94,0.75,0
g0WQ4N8kXl,44.416,7.658,4.38,3.005,2.94,0.75,0
G2d0Zl9BFw,44.416,7.658,4.09,3.005,2.94,0.75,0
Ga18hQykCj,44.416,7.658,3.37,3.005,2.94,0.75,0
GcXsnhkojA,44.416,7.658,0.16,3.005,2.94,0.75,0
gGVtpcifln,44.416,7.658,2.5,3.005,2.94,0.75,0
gh9dFpbLGT,44.416,7.658,4.62,3.005,2.94,0.75,0
GHyjRKHJgX,44.416,7.658,1.36,3.005,2.94,0.75,0
GjWn8injnL,44.416,7.658,3.09,3.005,2.94,0.75,0
